product_id,product_name,brand_name,price_usd,primary_category,secondary_category,tertiary_category,sephora_exclusive,product_rating,loves_count,author_id,review_rating,is_recommended,helpfulness,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,year,month,day_name
P456566,Banana Bright 15% Vitamin C Serum,OLEHENRIKSEN,71.0,Skincare,Treatments,Face Serums,1,3.94,88410,1648583734,2.0,0.0,1.0,2023-01-29,"Longtime Ole Henriksen fan/user. Bought this after using a sample. I don’t find it more effective than the brand’s other older vitamin C serum but decided to finish the bottle. Several weeks in, my dermatitis that had been dormant for 10 years came back. I did a skincare “elimination” diet when I got the skin under control. This brought the flare up right back. Ugh.",Aggravated my dormant dermatitis,,brown,normal,,2023,1,Sunday
P455369,Peptide Moisturizer,The INKEY List,15.99,Skincare,Moisturizers,Moisturizers,1,3.791,69215,27085821210,1.0,0.0,0.14,2020-08-21,"Tried using the product twice a week apart.  Both times there was an immediate sting felt all over my face.  Not sure if this was because I layered this with Q10.  I’m new to the skin care game so this could be my fault.  I was just surprised because I didn’t expect this from a Peptide Moisturizer.  My face was also slightly red the following day, but nothing too severe.  I am unsure if I should try this again, but for now it’ll have to go in a drawer.",This may sting a bit...,tan,brown,combination,black,2020,8,Friday
P392945,GENIUS Ultimate Anti-Aging Vitamin C+ Serum,Algenist,118.0,Skincare,Treatments,Face Serums,0,3.983,10068,1733189326,4.0,1.0,0.9,2018-10-11,"So I was looking for the fine lines that were starting around my eyes and mouth. I had some hyperpigmentation that lightened up and the small lines don’t exist. I’m at in my early 30s, but it’s nothing like early prevention.",good,tan,brown,combination,brown,2018,10,Thursday
P417980,City Skin Age Defense Broad Spectrum SPF 50 PA++++,Murad,69.0,Skincare,Sunscreen,Face Sunscreen,0,4.322,26245,1519975363,5.0,1.0,,2018-06-11,"Most loved one! The texture is similar to the high end (The ginza), pinkish color, feels great and it worked!",,lightMedium,hazel,combination,black,2018,6,Monday
P126301,Take The Day Off Cleansing Balm Makeup Remover,CLINIQUE,38.0,Skincare,Cleansers,Face Wash & Cleansers,0,4.529,185324,1316510353,4.0,1.0,1.0,2023-02-26,"Love this to double cleanse. It’s unscented and smooth in texture, removing a full face of makeup by melting it off skin without requiring much pulling or rubbing. Use this instead of using a cotton ball or pad with a traditional makeup remover.",A great oil based makeup remover,fairLight,green,combination,brown,2023,2,Sunday
P461159,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex Serum,Estée Lauder,115.0,Skincare,Treatments,Face Serums,0,4.046,58873,5431643905,5.0,1.0,1.0,2020-08-01,I really enjoyed this product! I love that it literally repairs my skin over night! It goes on your skin cleanly and smells great! I love that I wake up with supple and glowy skin! Highly recommend! The only downside is the price!,,light,hazel,dry,brown,2020,8,Saturday
P463371,Mini Adaptogen Deep Moisture Cream with Ashwagandha + Reishi,Youth To The People,18.0,Skincare,Mini Size,,0,4.366,28957,5828589989,3.0,0.0,0.07,2020-04-02,It’s not rich cream as it describes. It’s gel cream. Not hydrating for very dry skin like mine. Find it nothing special.,,fair,brown,dry,black,2020,4,Thursday
P394624,The True Cream Moisturizing Bomb,belif,38.0,Skincare,Moisturizers,Moisturizers,0,4.563,151868,32219182984,5.0,1.0,,2022-02-25,"I received this product for free in exchange for my honest review. It is a very light weight moisturizer that still packs a punch of hydration! I live in very cold winters, and this helps keep my face from chapping. The scent on this one is excellent and fresh.","Good moisture, great scent",fair,blue,combination,blonde,2022,2,Friday
P392648,Extra Illuminating Moisture Balm,Bobbi Brown,74.0,Skincare,Moisturizers,Moisturizers,0,3.37,10298,6403908,5.0,1.0,1.0,2020-07-11,"I love this stuff. I’m in my mid-30s and use it sparingly over my foundation. It helps add moisture & a delicate sheen without looking like an EDM highlighter party on my face. I gave sample to my mom who is in her early 60s & she loves it mixed into her favorite foundation. She says it helps give plumpness & brightening power to her foundation. She thinks it helps provide an extra barrier so her make-up doesn’t settle as much into fine lines around her lips, eyes, & forehead. I think it lights up her face without any contouring. We’re both hooked. (Also, I use straight from the bottle on non-cosmetic days, and under my SPF face cream when I camp during the summer, & it hydrates & makes my skin look a lot better in kayaking-selfies.)","Great addition to skincare routine, for 30s—60s!",light,blue,dry,blonde,2020,7,Saturday
P466153,Cloud Dew Gel Cream Moisturizer,Summer Fridays,45.0,Skincare,Moisturizers,Moisturizers,0,4.461,51838,23668223502,5.0,1.0,,2023-03-14,Love Summer Fridays products !! So lightweight yet so hydrating !! The packaging is super chic and love the ingredients. Great for my combination skin. Wears beautifully under makeup and works well with over other actives.,,medium,brown,oily,auburn,2023,3,Tuesday
